eios_id,number,building
3572187,259,ИПП
3578635,307,Б
3568106,5,В1
3569951,430,Е
3569973,407,Б
3566674,56,В1
3566675,54б,В1
3566691,42,В1
3566701,53,В1
3566707,64,В1
3567742,308,Б
3567746,309,Б
3567749,408,Б
3569724,102,Б
3569734,101,Б
3569740,206,Б
3569764,104,Б
3569769,306,Б
3569830,204,Б
3569884,208,Б
3569891,409,Б
3569904,302,Б
3569974,401,Б
3570516,207,Б
3574192,303,Б
3574198,203,Б
3574245,406,Б
3580204,310,Б
3593392,301,Б
3608977,107,Б
3566867,58,В1
3566976,66,В1
3566995,71,В1
3566996,74,В1
3567005,68,В1
3567010,52,В1
3567020,70,В1
3567035,67,В1
3567051,73,В1
3567271,253,ИПП
3567311,139,ИПП
3567334,138,ИПП
3567358,29,Б1
3567367,62,Б1
3567371,70,Б1
3567382,66,Б1
3567388,45,Б1
3567408,26,В1
3567412,43,В1
3567426,69,Б1
3567448,403,Е
3567455,405,Е
3567468,413,Е
3567487,303б,Е
3567521,19,В1
3567528,48,В1
3567544,237,ИПП
3567555,275,ИПП
3567569,22,В1
3567574,12,В1
3567579,121,ИПП
3567584,23,В1
3567589,44,В1
3567631,39,В1
3567632,46,В1
3567655,41,В1
3567696,31,В1
3567731,319,Гл
3567734,304,Б
3567737,405,Гл
3567745,320,Гл
3567747,234,Гл
3567754,410,Гл
3567755,30а,В1
3567775,238,Гл
3567776,34,В1
3567798,7,В1
3567836,24,Юн
3567859,21,Юн
3567864,стад(1),Юн
3567986,205,Гл
3567936,206,Гл
3567957,314,Гл
3567963,231,Гл
3568007,16,В1
3568020,25,В1
3568132,13,В1
3568357,215,Г1
3568360,123,Г1
3568365,110,Г1
3568366,210,Г1
3568372,114,Г1
3568381,29,В1
3568394,113,Г1
3568395,222,Г1
3568400,119,В
3568401,210,В
3568639,312,Б
3568662,226,Е
3568663,113,Е
3568664,125,Е
3568678,211,Е
3568695,407,Е
3568698,520,Е
3568715,208,Е
3568737,522,Е
3568770,406,Е
3568774,6,В1
3568928,62,В1
3568929,60,В1
3568930,мс,В1
3569242,10,В1
3569260,ОИД,Общий
3569276,9,В1
3569280,204,Ж
3569317,304,Ж
3569325,216,Ж
3569339,115,Ж
3569340,110,В
3569417,106,Ж
3569432,210,Ж
3569439,45,В1
3569541,65,В1
3569722,СДО,СДО
3569743,313,Б
3569971,201,Б
3570118,18,В1
3570174,35,В1
3570202,47,В1
3570355,27,В1
3570651,69,В1
3570653,71А,В1
3572135,122,ИПП
3572136,273,ИПП
3572263,123,ИПП
3572609,207,В
3572610,37,В
3572778,324,Гл
3572824,317,Е
3572831,320,Е
3572844,327,Е
3572854,325,Е
3572855,330,Е
3572895,120,Е
3572966,326,Е
3573003,28,В1
3573015,15,В1
3573028,14,В1
3573237,32,Б1
3573388,412,Е
3573485,221,Е
3573512,234,ИПП
3573515,274,ИПП
3573516,239,ИПП
3573524,104,ИПП
3573541,131,ИПП
3573545,238,ИПП
3573595,ОИД5,Общий
3573611,106,ИПП
3573612,105,ИПП
3573662,242,ИПП
3573680,Спорткорпус(5),Б1
3573695,128,ИПП
3573756,208,ИПП
3573786,210,ИПП
3573791,224,ИПП
3574036,30,В1
3574105,202,Б
3574523,407,Гл
3574524,404,Гл
3574545,408,Гл
3574558,403,Гл
3574582,321,Гл
3574617,203,Гл
3575197,327,Гл
3575326,331,Гл
3575418,211,Гл
3575425,208,Гл
3575479,406,Гл
3575697,101,В
3575698,117,В
3575948,107,В
3576070,514,Е
3576095,спз.ед(1),Юн
3576096,спз.ед(2),Юн
3576105,23,Юн
3576117,спз.гим(1),Юн
3576118,спз.гим(2),Юн
3576179,11,В1
3576218,спз.иг(1),Юн
3576219,спз.иг(2),Юн
3576274,304,Е
3576309,227,Е
3576310,303а,Е
3576324,228,Е
3576337,501а,Е
3576681,516,Е
3576707,508,Е
3576751,502,Е
3576813,517,Е
3576886,202,Ж
3576896,209,Ж
3576929,203,Ж
3577058,303,Ж
3577214,212,Ж
3577290,205,Ж
3577531,325,Гл
3578097,204,Гл
3578183,111,Г1
3578222,116,Г1
3578251,124,Г1
3578473,217,Г1
3578590,240(3),Гл
3578736,315,Гл
3578872,115,Е
3578884,116,Е
3578900,108,Е
3578956,101(1),Е
3578973,209,Е
3579004,523,Е
3579102,114,Е
3579112,57,В1
3579169,Спорткорпус(1),Б1
3579170,Спорткорпус(2),Б1
3579615,213,Ж
3579690,302,Ж
3579844,Спорткорпус(7),Б1
3579974,20,В1
3580125,240(2),Гл
3580191,302,Гл
3580432,Спорткорпус(6),Б1
3580722,240(1),Гл
3582861,Спорткорпус(4),Б1
3583485,321,Е
3583598,312,Е
3583710,Спорткорпус(3),Б1
3584188,223,Е
3586548,Спорткорпус(8),Б1
3587360,стад(2),Юн
3587448,бас(1),Юн
3587449,бас(2),Юн
3587645,101(2),Е
3587696,224,Е
3587761,308,Е
3588569,240(4),Гл
3588570,240(5),Гл
3589317,303,Гл
3590729,306,Е
3590731,212,Е
3590995,309,Е
3591121,59,В1
3591598,301,Ж
3593061,1,СДО
3593176,108,Б
3593636,313,Е
3593839,100,Е
3594568,305,Гл
3595065,121,Е
3595124,324,Е
3595214,101(3),Е
3595240,319,Е
3600201,305А,Гл
3600671,121,В
3602403,222,Е
3602890,4,Юн
3603153,509,Е
3603748,115а,Ж
3603749,113,Ж
3607770,61,В1
3611580,314,Е
3615521,243,ИПП
3619466,213,Гл
5007733,2,СДО
